paper,claim_id,claim_type,markdown_line_start,markdown_line_end,pdf_page,enclosing_section,claim_or_review_unit,review_owner,disposition
Knowledge,K-CLM-0021,section_claim_cluster,283,344,14,6. The distinction SymK must preserve,6. The distinction SymK must preserve,Stream B,unreviewed
Knowledge,K-CLM-0022,section_claim_cluster,287,292,14,6.1 Knowledge,6.1 Knowledge,Stream B,unreviewed
Knowledge,K-CLM-0023,section_claim_cluster,293,298,14,6.2 Knowledge claim,6.2 Knowledge claim,Stream B,unreviewed
Knowledge,K-CLM-0024,section_claim_cluster,299,316,14,6.3 Knowledge asset,6.3 Knowledge asset,Stream B,unreviewed
Knowledge,K-CLM-0025,section_claim_cluster,317,322,15,6.4 Representation,6.4 Representation,Stream B,unreviewed
Knowledge,K-CLM-0026,section_claim_cluster,323,344,15,6.5 Epistemic status,6.5 Epistemic status,Stream B,unreviewed
Knowledge,K-CLM-0027,section_claim_cluster,345,396,16,7. A working definition for SymK,7. A working definition for SymK,Stream B,unreviewed
Knowledge,K-CLM-0028,section_claim_cluster,353,356,10,Epistemic achievement,Epistemic achievement,Stream B,unreviewed
Knowledge,K-CLM-0029,section_claim_cluster,357,360,16,"An intelligence, or a cooperative system of intelligences","An intelligence, or a cooperative system of intelligences",Stream B,unreviewed
Knowledge,K-CLM-0030,section_claim_cluster,361,370,16,"Truth-connected, competence-bearing, or direct relation","Truth-connected, competence-bearing, or direct relation",Stream B,unreviewed
Knowledge,K-CLM-0031,section_claim_cluster,371,374,16,Responsibly relied upon,Responsibly relied upon,Stream B,unreviewed
Knowledge,K-CLM-0032,section_claim_cluster,375,378,16,Within a stated scope,Within a stated scope,Stream B,unreviewed
Knowledge,K-CLM-0033,section_claim_cluster,379,386,16,7.1 The operational corollary,7.1 The operational corollary,Stream B,unreviewed
Knowledge,K-CLM-0034,section_claim_cluster,387,396,17,7.2 Interpreting the constitutional motto,7.2 Interpreting the constitutional motto,Stream B,unreviewed
Knowledge,K-CLM-0035,section_claim_cluster,397,445,18,8. The proposed SymK knowledge object,8. The proposed SymK knowledge object,Stream B,unreviewed
Knowledge,K-CLM-0036,section_claim_cluster,446,523,20,9. Candidate foundational commitments,9. Candidate foundational commitments,Stream B,unreviewed
Knowledge,K-CLM-0037,candidate_commitment,450,455,20,K-01 — Knowledge and representation are distinct,K-01 — Knowledge and representation are distinct,Stream B,unreviewed
Knowledge,K-CLM-0038,candidate_commitment,456,461,20,K-02 — Truth is not created by governance,K-02 — Truth is not created by governance,Stream B,unreviewed
Knowledge,K-CLM-0039,candidate_commitment,462,467,20,K-03 — No knowledge claim is context-free in application,K-03 — No knowledge claim is context-free in application,Stream B,unreviewed
Knowledge,K-CLM-0040,candidate_commitment,468,473,20,K-04 — Grounds are part of the durable asset,K-04 — Grounds are part of the durable asset,Stream B,unreviewed
Knowledge,K-CLM-0041,candidate_commitment,474,479,20,K-05 — Operational acceptance remains defeasible,K-05 — Operational acceptance remains defeasible,Stream B,unreviewed
Knowledge,K-CLM-0042,candidate_commitment,480,485,20,K-06 — Contradiction must be represented before it is resolved,K-06 — Contradiction must be represented before it is resolved,Stream B,unreviewed
Knowledge,K-CLM-0043,candidate_commitment,486,491,20,K-07 — Knowledge has plural modes,K-07 — Knowledge has plural modes,Stream B,unreviewed
Knowledge,K-CLM-0044,candidate_commitment,492,497,20,K-08 — Formal inference is conditional knowledge work,K-08 — Formal inference is conditional knowledge work,Stream B,unreviewed
Knowledge,K-CLM-0045,candidate_commitment,498,503,21,K-09 — Epistemic standing is not conferred by participant type,K-09 — Epistemic standing is not conferred by participant type,Stream B,unreviewed
Knowledge,K-CLM-0046,candidate_commitment,504,509,21,K-10 — Shared knowledge is not mere consensus,K-10 — Shared knowledge is not mere consensus,Stream B,unreviewed
Knowledge,K-CLM-0047,candidate_commitment,510,515,21,K-11 — Knowledge must remain challengeable,K-11 — Knowledge must remain challengeable,Stream B,unreviewed
Knowledge,K-CLM-0048,candidate_commitment,516,523,21,K-12 — Knowledge engineering begins before implementation,K-12 — Knowledge engineering begins before implementation,Stream B,unreviewed
Knowledge,K-CLM-0049,section_claim_cluster,524,560,22,10. Implications for Human-AI and multi-intelligence cooperation,10. Implications for Human-AI and multi-intelligence cooperation,Stream B,unreviewed
Knowledge,K-CLM-0050,section_claim_cluster,528,533,22,"10.1 AI output is a contribution, not a verdict","10.1 AI output is a contribution, not a verdict",Stream B,unreviewed
Knowledge,K-CLM-0051,section_claim_cluster,534,552,22,10.2 Roles may be distributed,10.2 Roles may be distributed,Stream B,unreviewed
Knowledge,K-CLM-0052,section_claim_cluster,553,560,22,10.3 Shared does not mean identical,10.3 Shared does not mean identical,Stream B,unreviewed
Knowledge,K-CLM-0053,development_requirement,561,622,23,11. Development requirements derived from the foundation,11. Development requirements derived from the foundation,Stream B,unreviewed
Knowledge,K-CLM-0054,development_requirement,565,577,23,11.1 Separate the layers,11.1 Separate the layers,Stream B,unreviewed
Knowledge,K-CLM-0055,development_requirement,578,591,23,11.2 Preserve epistemic lineage,11.2 Preserve epistemic lineage,Stream B,unreviewed
Knowledge,K-CLM-0056,development_requirement,592,595,23,11.3 Support non-monotonic evolution,11.3 Support non-monotonic evolution,Stream B,unreviewed
Knowledge,K-CLM-0057,development_requirement,596,599,23,11.4 Allow multiple representational projections,11.4 Allow multiple representational projections,Stream B,unreviewed
Knowledge,K-CLM-0058,development_requirement,600,612,23,11.5 Make uncertainty typed,11.5 Make uncertainty typed,Stream B,unreviewed
Knowledge,K-CLM-0059,development_requirement,613,616,24,11.6 Preserve negative results,11.6 Preserve negative results,Stream B,unreviewed
Knowledge,K-CLM-0060,development_requirement,617,622,24,11.7 Avoid premature universalization,11.7 Avoid premature universalization,Stream B,unreviewed
Knowledge,K-CLM-0061,open_question,623,666,25,12. Open foundational questions,12. Open foundational questions,Stream B,unreviewed
Knowledge,K-CLM-0062,open_question,627,630,25,12.1 Is knowledge necessarily factive in the formal SymK vocabulary?,12.1 Is knowledge necessarily factive in the formal SymK vocabulary?,Stream B,unreviewed
Knowledge,K-CLM-0063,open_question,631,634,25,12.2 Can a cooperative system literally know?,12.2 Can a cooperative system literally know?,Stream B,unreviewed
Knowledge,K-CLM-0064,open_question,635,638,25,12.3 What qualifies an artificial system as an epistemic subject?,12.3 What qualifies an artificial system as an epistemic subject?,Stream B,unreviewed
Knowledge,K-CLM-0065,open_question,639,642,25,12.4 How should knowledge-how be governed?,12.4 How should knowledge-how be governed?,Stream B,unreviewed
Knowledge,K-CLM-0066,open_question,643,646,25,12.5 What is the relation between knowledge and understanding?,12.5 What is the relation between knowledge and understanding?,Stream B,unreviewed
Knowledge,K-CLM-0067,open_question,647,656,25,12.6 How should context affect knowledge attribution?,12.6 How should context affect knowledge attribution?,Stream B,unreviewed
Knowledge,K-CLM-0068,open_question,657,660,25,12.7 How should conflicting but locally successful models coexist?,12.7 How should conflicting but locally successful models coexist?,Stream B,unreviewed
Knowledge,K-CLM-0069,open_question,661,666,25,12.8 What are the smallest irreducible primitives?,12.8 What are the smallest irreducible primitives?,Stream B,unreviewed
Knowledge,K-CLM-0070,evaluation_gate_cluster,667,689,26,13. A practical evaluation gate,13. A practical evaluation gate,Stream B,unreviewed
Knowledge,K-CLM-0071,section_claim_cluster,690,715,27,14. Conclusion,14. Conclusion,Stream B,unreviewed
Knowledge,K-CLM-0072,central_blockquote_claim,34,34,5,1. Why knowledge is foundational to SymK,Knowledge is the shared medium. Cooperation is the objective.,Stream B,unreviewed
Knowledge,K-CLM-0073,central_blockquote_claim,56,56,6,2. The first correction: there is no simple historical definition to inherit,"A subject S knows a proposition P if and only if P is true, S believes P, and S is justified in believing P.",Stream B,unreviewed
Knowledge,K-CLM-0074,central_blockquote_claim,76,76,6,2.1 The Gettier rupture,"A claim does not become knowledge merely because its content is true and its holder can present reasons for believing it. The relation among claim, grounds, process, and truth also matters.",Stream B,unreviewed
Knowledge,K-CLM-0075,central_blockquote_claim,279,279,13,5.8 Comparative view,SymK should not choose one representation and call it Knowledge. It should govern several projections of knowledge-related objects while preserving the conceptual source they express.,Stream B,unreviewed
Knowledge,K-CLM-0076,central_blockquote_claim,349,349,16,7. A working definition for SymK,"Knowledge, in SymK, is an epistemic achievement in which an intelligence, or a cooperative system of intelligences, stands in a sufficiently truth-connected, competence-bearing, or direct relation to what is known such that it may be responsibly relied upon within a stated scope.",Stream B,unreviewed
Knowledge,K-CLM-0077,central_blockquote_claim,383,383,16,7.1 The operational corollary,"SymK engineers governed knowledge assets that preserve the best available, challengeable evidence that knowledge has been achieved, together with the representations required to share and apply it.",Stream B,unreviewed
Knowledge,K-CLM-0078,central_blockquote_claim,391,391,17,7.2 Interpreting the constitutional motto,"Knowledge is the shared medium means that cooperation proceeds through governed epistemic achievements and knowledge assets whose meaning, grounds, scope, and history can survive changes in participant and representation.",Stream B,unreviewed
Knowledge,K-CLM-0079,central_blockquote_claim,702,702,16,14. Conclusion,"Knowledge, in SymK, is an epistemic achievement in which an intelligence, or a cooperative system of intelligences, stands in a sufficiently truth-connected, competence-bearing, or direct relation to what is known such that it may be responsibly relied upon within a stated scope.",Stream B,unreviewed
Knowledge,K-CLM-0080,central_blockquote_claim,706,706,16,14. Conclusion,"SymK engineers governed knowledge assets that preserve the best available, challengeable evidence that knowledge has been achieved, together with the representations required to share and apply it.",Stream B,unreviewed
Knowledge,K-CLM-0081,central_blockquote_claim,710,710,5,14. Conclusion,Knowledge is the shared medium. Cooperation is the objective.,Stream B,unreviewed
Knowledge,K-CLM-0082,explicit_numbered_claim_or_requirement,40,40,5,1. Why knowledge is foundational to SymK,A stored statement may be treated as true merely because it is in the repository.,Stream B,unreviewed
Knowledge,K-CLM-0083,explicit_numbered_claim_or_requirement,41,41,5,1. Why knowledge is foundational to SymK,A technically valid inference may be treated as epistemically warranted outside the assumptions of its formal system.,Stream B,unreviewed
Knowledge,K-CLM-0084,explicit_numbered_claim_or_requirement,42,42,5,1. Why knowledge is foundational to SymK,"A document, graph, or model may be mistaken for the knowledge it represents.",Stream B,unreviewed
Knowledge,K-CLM-0085,explicit_numbered_claim_or_requirement,43,43,5,1. Why knowledge is foundational to SymK,Consensus or governance may be mistaken for truth.,Stream B,unreviewed
Knowledge,K-CLM-0086,explicit_numbered_claim_or_requirement,44,44,5,1. Why knowledge is foundational to SymK,"Propositional knowledge may be treated as the only form of knowledge, excluding skills, methods, and direct familiarity.",Stream B,unreviewed
Knowledge,K-CLM-0087,explicit_numbered_claim_or_requirement,45,45,5,1. Why knowledge is foundational to SymK,Human and machine outputs may be granted or denied epistemic standing solely because of their origin.,Stream B,unreviewed
Knowledge,K-CLM-0088,explicit_numbered_claim_or_requirement,46,46,5,1. Why knowledge is foundational to SymK,A domain-specific convention may silently enter the universal SymK Core.,Stream B,unreviewed
Knowledge,K-CLM-0089,explicit_numbered_claim_or_requirement,151,151,9,3.4 A plural foundation,"Knowing that — propositional, truth-apt content.",Stream B,unreviewed
Knowledge,K-CLM-0090,explicit_numbered_claim_or_requirement,152,152,9,3.4 A plural foundation,Knowing how — capability or competence manifested in action.,Stream B,unreviewed
Knowledge,K-CLM-0091,explicit_numbered_claim_or_requirement,153,153,9,3.4 A plural foundation,"Knowing through acquaintance — direct or accumulated familiarity with an object, situation, or field of experience.",Stream B,unreviewed
Knowledge,K-CLM-0092,explicit_numbered_claim_or_requirement,436,436,19,8. The proposed SymK knowledge object,Content is not separated from grounds.,Stream B,unreviewed
Knowledge,K-CLM-0093,explicit_numbered_claim_or_requirement,437,437,19,8. The proposed SymK knowledge object,Acceptance is not separated from scope.,Stream B,unreviewed
Knowledge,K-CLM-0094,explicit_numbered_claim_or_requirement,438,438,19,8. The proposed SymK knowledge object,Current status is not separated from history.,Stream B,unreviewed
Knowledge,K-CLM-0095,explicit_numbered_claim_or_requirement,439,439,19,8. The proposed SymK knowledge object,Representations are plural and subordinate to the governing object.,Stream B,unreviewed
Knowledge,K-CLM-0096,explicit_numbered_claim_or_requirement,440,440,19,8. The proposed SymK knowledge object,Objections and failed tests remain part of the knowledge asset.,Stream B,unreviewed
Knowledge,K-CLM-0097,explicit_numbered_claim_or_requirement,441,441,19,8. The proposed SymK knowledge object,The participant who proposes a claim need not be the authority who adopts it.,Stream B,unreviewed
Knowledge,K-CLM-0098,explicit_numbered_claim_or_requirement,442,442,19,8. The proposed SymK knowledge object,"Human and artificial contributions are evaluated through traceable epistemic roles, not prestige or origin alone.",Stream B,unreviewed
Knowledge,K-CLM-0099,explicit_numbered_claim_or_requirement,582,582,23,11.2 Preserve epistemic lineage,who or what introduced it;,Stream B,unreviewed
Knowledge,K-CLM-0100,explicit_numbered_claim_or_requirement,583,583,23,11.2 Preserve epistemic lineage,what it originally meant;,Stream B,unreviewed
Knowledge,K-CLM-0101,explicit_numbered_claim_or_requirement,584,584,23,11.2 Preserve epistemic lineage,which sources or experiences supported it;,Stream B,unreviewed
Knowledge,K-CLM-0102,explicit_numbered_claim_or_requirement,585,585,23,11.2 Preserve epistemic lineage,how it changed;,Stream B,unreviewed
Knowledge,K-CLM-0103,explicit_numbered_claim_or_requirement,586,586,23,11.2 Preserve epistemic lineage,what objections were raised;,Stream B,unreviewed
Knowledge,K-CLM-0104,explicit_numbered_claim_or_requirement,587,587,23,11.2 Preserve epistemic lineage,why its current status was assigned;,Stream B,unreviewed
Knowledge,K-CLM-0105,explicit_numbered_claim_or_requirement,588,588,23,11.2 Preserve epistemic lineage,where it is adopted;,Stream B,unreviewed
Knowledge,K-CLM-0106,explicit_numbered_claim_or_requirement,589,589,23,11.2 Preserve epistemic lineage,which representations express it;,Stream B,unreviewed
Knowledge,K-CLM-0107,explicit_numbered_claim_or_requirement,590,590,23,11.2 Preserve epistemic lineage,what would cause it to be reconsidered.,Stream B,unreviewed
Knowledge,K-CLM-0108,evaluation_gate_question,673,673,26,13. A practical evaluation gate,"Identity: What exactly is the claim, capability, or object of familiarity?",Stream B,unreviewed
Knowledge,K-CLM-0109,evaluation_gate_question,674,674,26,13. A practical evaluation gate,"Mode: Is this knowing-that, knowing-how, acquaintance, or a combination?",Stream B,unreviewed
Knowledge,K-CLM-0110,evaluation_gate_question,675,675,26,13. A practical evaluation gate,"Grounds: What evidence, process, competence, or direct relation supports it?",Stream B,unreviewed
Knowledge,K-CLM-0111,evaluation_gate_question,676,676,26,13. A practical evaluation gate,"Truth connection: For a proposition, how is the claim connected to what makes it true rather than merely to a successful answer?",Stream B,unreviewed
Knowledge,K-CLM-0112,evaluation_gate_question,677,677,26,13. A practical evaluation gate,"Scope: Under which domain, time, assumptions, population, task, and stakes may it be relied upon?",Stream B,unreviewed
Knowledge,K-CLM-0113,evaluation_gate_question,678,678,26,13. A practical evaluation gate,"Alternatives: Which plausible counterexamples, defeaters, or competing explanations were considered?",Stream B,unreviewed
Knowledge,K-CLM-0114,evaluation_gate_question,679,679,26,13. A practical evaluation gate,"Provenance: Can the contribution be traced through sources, transformations, and participants?",Stream B,unreviewed
Knowledge,K-CLM-0115,evaluation_gate_question,680,680,26,13. A practical evaluation gate,"Status: What has been observed, inferred, evaluated, accepted, or merely proposed?",Stream B,unreviewed
Knowledge,K-CLM-0116,evaluation_gate_question,681,681,26,13. A practical evaluation gate,"Representation: Which human, semantic, and machine projections exist, and do they remain aligned?",Stream B,unreviewed
Knowledge,K-CLM-0117,evaluation_gate_question,682,682,26,13. A practical evaluation gate,"Responsibility: Who may challenge, decide, adopt, maintain, and bear consequences?",Stream B,unreviewed
Knowledge,K-CLM-0118,evaluation_gate_question,683,683,26,13. A practical evaluation gate,"Revision: What evidence would restrict, defeat, or supersede the asset?",Stream B,unreviewed
Knowledge,K-CLM-0119,evaluation_gate_question,684,684,26,13. A practical evaluation gate,Cooperation: How does the asset improve cumulative cooperation among intelligences?,Stream B,unreviewed
Intelligence,I-CLM-0001,section_claim_cluster,28,63,2,1. Why Intelligence is foundational to SymK,1. Why Intelligence is foundational to SymK,Stream C,unreviewed
Intelligence,I-CLM-0002,section_claim_cluster,64,119,4,"2. The Copernican correction: Human Intelligence is an instance, not the center","2. The Copernican correction: Human Intelligence is an instance, not the center",Stream C,unreviewed
Intelligence,I-CLM-0003,section_claim_cluster,76,87,4,2.1 Human reference remains useful,2.1 Human reference remains useful,Stream C,unreviewed
Intelligence,I-CLM-0004,section_claim_cluster,88,91,5,2.2 Non-human biological Intelligence is not deficient humanity,2.2 Non-human biological Intelligence is not deficient humanity,Stream C,unreviewed
Intelligence,I-CLM-0005,section_claim_cluster,92,97,5,2.3 Artificial Intelligence is not simulated humanity,2.3 Artificial Intelligence is not simulated humanity,Stream C,unreviewed
Intelligence,I-CLM-0006,section_claim_cluster,98,103,6,2.4 Social Intelligence has two meanings that must not be confused,2.4 Social Intelligence has two meanings that must not be confused,Stream C,unreviewed
Intelligence,I-CLM-0007,section_claim_cluster,104,119,6,2.5 Decentering is not equivalence,2.5 Decentering is not equivalence,Stream C,unreviewed
Intelligence,I-CLM-0008,section_claim_cluster,120,218,6,3. The levels SymK must keep distinct,3. The levels SymK must keep distinct,Stream C,unreviewed
Intelligence,I-CLM-0009,section_claim_cluster,150,160,7,3.1 Supporting substrate,3.1 Supporting substrate,Stream C,unreviewed
Intelligence,I-CLM-0010,section_claim_cluster,161,175,8,3.2 Organized system,3.2 Organized system,Stream C,unreviewed
Intelligence,I-CLM-0011,section_claim_cluster,176,179,8,3.3 Intelligence profile,3.3 Intelligence profile,Stream C,unreviewed
Intelligence,I-CLM-0012,section_claim_cluster,180,193,9,3.4 Manifested performance,3.4 Manifested performance,Stream C,unreviewed
Intelligence,I-CLM-0013,section_claim_cluster,194,207,9,3.5 Intelligence attribution,3.5 Intelligence attribution,Stream C,unreviewed
Intelligence,I-CLM-0014,section_claim_cluster,208,218,10,3.6 Two principles of dependence,3.6 Two principles of dependence,Stream C,unreviewed
Intelligence,I-CLM-0015,section_claim_cluster,219,275,10,4. Substrate independence without substrate indifference,4. Substrate independence without substrate indifference,Stream C,unreviewed
Intelligence,I-CLM-0016,section_claim_cluster,227,237,10,4.1 Multiple realizability is a research commitment,4.1 Multiple realizability is a research commitment,Stream C,unreviewed
Intelligence,I-CLM-0017,section_claim_cluster,238,255,11,4.2 Substrates shape flavors,4.2 Substrates shape flavors,Stream C,unreviewed
Intelligence,I-CLM-0018,section_claim_cluster,256,261,11,4.3 Functional similarity does not imply experiential identity,4.3 Functional similarity does not imply experiential identity,Stream C,unreviewed
Intelligence,I-CLM-0019,section_claim_cluster,262,275,12,4.4 A higher level is not an immaterial level,4.4 A higher level is not an immaterial level,Stream C,unreviewed
Intelligence,I-CLM-0020,section_claim_cluster,276,369,12,5. What the major traditions actually provide,5. What the major traditions actually provide,Stream C,unreviewed
Intelligence,I-CLM-0021,section_claim_cluster,280,289,12,5.1 Psychometric structure,5.1 Psychometric structure,Stream C,unreviewed
Intelligence,I-CLM-0022,section_claim_cluster,290,297,13,5.2 Plural ability theories,5.2 Plural ability theories,Stream C,unreviewed
Intelligence,I-CLM-0023,section_claim_cluster,298,309,13,5.3 Development and adaptation,5.3 Development and adaptation,Stream C,unreviewed
Intelligence,I-CLM-0024,section_claim_cluster,310,317,14,5.4 Rational agency,5.4 Rational agency,Stream C,unreviewed
Intelligence,I-CLM-0025,section_claim_cluster,318,323,14,5.5 General goal achievement,5.5 General goal achievement,Stream C,unreviewed
Intelligence,I-CLM-0026,section_claim_cluster,324,329,14,5.6 Skill-acquisition efficiency,5.6 Skill-acquisition efficiency,Stream C,unreviewed
Intelligence,I-CLM-0027,section_claim_cluster,330,335,15,5.7 Embodied and enactive approaches,5.7 Embodied and enactive approaches,Stream C,unreviewed
Intelligence,I-CLM-0028,section_claim_cluster,336,341,15,5.8 Extended and distributed cognition,5.8 Extended and distributed cognition,Stream C,unreviewed
Intelligence,I-CLM-0029,section_claim_cluster,342,347,15,5.9 Collective Intelligence,5.9 Collective Intelligence,Stream C,unreviewed
Intelligence,I-CLM-0030,section_claim_cluster,348,351,16,5.10 Emerging formal definitions,5.10 Emerging formal definitions,Stream C,unreviewed
Intelligence,I-CLM-0031,section_claim_cluster,352,369,16,5.11 Comparative view,5.11 Comparative view,Stream C,unreviewed
Intelligence,I-CLM-0032,section_claim_cluster,370,436,17,6. Intelligence manifests in different flavors,6. Intelligence manifests in different flavors,Stream C,unreviewed
Intelligence,I-CLM-0033,section_claim_cluster,374,396,18,6.1 Capability dimensions,6.1 Capability dimensions,Stream C,unreviewed
Intelligence,I-CLM-0034,section_claim_cluster,397,406,19,"6.2 Breadth, depth, and transfer","6.2 Breadth, depth, and transfer",Stream C,unreviewed
Intelligence,I-CLM-0035,section_claim_cluster,407,419,19,"6.3 Individual, collective, and hybrid flavors","6.3 Individual, collective, and hybrid flavors",Stream C,unreviewed
Intelligence,I-CLM-0036,section_claim_cluster,420,436,20,"6.4 A property space, not one natural ladder","6.4 A property space, not one natural ladder",Stream C,unreviewed
Intelligence,I-CLM-0037,section_claim_cluster,437,500,20,7. The distinctions SymK must preserve,7. The distinctions SymK must preserve,Stream C,unreviewed
Intelligence,I-CLM-0038,section_claim_cluster,439,451,20,7.1 Intelligence and Knowledge,7.1 Intelligence and Knowledge,Stream C,unreviewed
Intelligence,I-CLM-0039,section_claim_cluster,452,455,21,7.2 Intelligence and cognition,7.2 Intelligence and cognition,Stream C,unreviewed
Intelligence,I-CLM-0040,section_claim_cluster,456,461,21,"7.3 Intelligence, competence, and skill","7.3 Intelligence, competence, and skill",Stream C,unreviewed
Intelligence,I-CLM-0041,section_claim_cluster,462,470,21,7.4 Intelligence and performance,7.4 Intelligence and performance,Stream C,unreviewed
Intelligence,I-CLM-0042,section_claim_cluster,471,474,21,7.5 Intelligence and rationality,7.5 Intelligence and rationality,Stream C,unreviewed
Intelligence,I-CLM-0043,section_claim_cluster,475,478,22,7.6 Intelligence and agency,7.6 Intelligence and agency,Stream C,unreviewed
Intelligence,I-CLM-0044,section_claim_cluster,479,482,22,7.7 Intelligence and autonomy,7.7 Intelligence and autonomy,Stream C,unreviewed
Intelligence,I-CLM-0045,section_claim_cluster,483,486,22,7.8 Intelligence and consciousness,7.8 Intelligence and consciousness,Stream C,unreviewed
Intelligence,I-CLM-0046,section_claim_cluster,487,490,22,7.9 Intelligence and understanding,7.9 Intelligence and understanding,Stream C,unreviewed
Intelligence,I-CLM-0047,section_claim_cluster,491,494,22,7.10 Intelligence and wisdom,7.10 Intelligence and wisdom,Stream C,unreviewed
Intelligence,I-CLM-0048,section_claim_cluster,495,500,23,7.11 Intelligence and moral status,7.11 Intelligence and moral status,Stream C,unreviewed
Intelligence,I-CLM-0049,section_claim_cluster,501,556,23,8. A working definition for SymK,8. A working definition for SymK,Stream C,unreviewed
Intelligence,I-CLM-0050,section_claim_cluster,509,512,2,Substrate-realized,Substrate-realized,Stream C,unreviewed
Intelligence,I-CLM-0051,section_claim_cluster,513,516,2,Capacity,Capacity,Stream C,unreviewed
Intelligence,I-CLM-0052,section_claim_cluster,517,520,2,Organized system,Organized system,Stream C,unreviewed
Intelligence,I-CLM-0053,section_claim_cluster,521,524,23,Context-sensitive interpretation or effective action,Context-sensitive interpretation or effective action,Stream C,unreviewed
Intelligence,I-CLM-0054,section_claim_cluster,525,528,23,Across a relevant range,Across a relevant range,Stream C,unreviewed
Intelligence,I-CLM-0055,section_claim_cluster,529,532,24,"Integrating structure, information, experience, and Knowledge","Integrating structure, information, experience, and Knowledge",Stream C,unreviewed
Intelligence,I-CLM-0056,section_claim_cluster,533,536,24,Some capacity to adapt beyond prior cases,Some capacity to adapt beyond prior cases,Stream C,unreviewed
Intelligence,I-CLM-0057,section_claim_cluster,537,542,24,8.1 Operational corollary,8.1 Operational corollary,Stream C,unreviewed
Intelligence,I-CLM-0058,section_claim_cluster,543,548,25,8.2 The non-privilege corollary,8.2 The non-privilege corollary,Stream C,unreviewed
Intelligence,I-CLM-0059,section_claim_cluster,549,556,25,8.3 Interpreting the SymK motto,8.3 Interpreting the SymK motto,Stream C,unreviewed
Intelligence,I-CLM-0060,section_claim_cluster,557,630,25,9. The proposed SymK Intelligence object,9. The proposed SymK Intelligence object,Stream C,unreviewed
Intelligence,I-CLM-0061,section_claim_cluster,631,708,27,10. Candidate foundational commitments,10. Candidate foundational commitments,Stream C,unreviewed
Intelligence,I-CLM-0062,candidate_commitment,635,640,27,I-01 — Intelligence and substrate are distinct,I-01 — Intelligence and substrate are distinct,Stream C,unreviewed
Intelligence,I-CLM-0063,candidate_commitment,641,646,27,I-02 — Intelligence is always realized,I-02 — Intelligence is always realized,Stream C,unreviewed
Intelligence,I-CLM-0064,candidate_commitment,647,652,28,I-03 — Attribution belongs to the organized-system level,I-03 — Attribution belongs to the organized-system level,Stream C,unreviewed
