claim_id,claim_type,v0.1_markdown_lines,v0.1_pdf_page,v0.1_enclosing_section,finding_ids,disposition,v0.2_destination,rationale
K-CLM-0026,section_claim_cluster,323-344,15,6.5 Epistemic status,K-FND-007;K-FND-008;K-FND-020,REVISE_V0.2,"§7 and §10 — Distinctions, review envelope and lifecycle",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0027,section_claim_cluster,345-396,16,7. A working definition for SymK,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0028,section_claim_cluster,353-356,10,Epistemic achievement,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0029,section_claim_cluster,357-360,16,"An intelligence, or a cooperative system of intelligences",K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0030,section_claim_cluster,361-370,16,"Truth-connected, competence-bearing, or direct relation",K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0031,section_claim_cluster,371-374,16,Responsibly relied upon,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0032,section_claim_cluster,375-378,16,Within a stated scope,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0033,section_claim_cluster,379-386,16,7.1 The operational corollary,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0034,section_claim_cluster,387-396,17,7.2 Interpreting the constitutional motto,K-FND-001;K-FND-003,REVISE_V0.2,§8 — Stage-Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0035,section_claim_cluster,397-445,18,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0036,section_claim_cluster,446-523,20,9. Candidate foundational commitments,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0037,candidate_commitment,450-455,20,K-01 — Knowledge and representation are distinct,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0038,candidate_commitment,456-461,20,K-02 — Truth is not created by governance,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0039,candidate_commitment,462-467,20,K-03 — No knowledge claim is context-free in application,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0040,candidate_commitment,468-473,20,K-04 — Grounds are part of the durable asset,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0041,candidate_commitment,474-479,20,K-05 — Operational acceptance remains defeasible,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0042,candidate_commitment,480-485,20,K-06 — Contradiction must be represented before it is resolved,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0043,candidate_commitment,486-491,20,K-07 — Knowledge has plural modes,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0044,candidate_commitment,492-497,20,K-08 — Formal inference is conditional knowledge work,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0045,candidate_commitment,498-503,21,K-09 — Epistemic standing is not conferred by participant type,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0046,candidate_commitment,504-509,21,K-10 — Shared knowledge is not mere consensus,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0047,candidate_commitment,510-515,21,K-11 — Knowledge must remain challengeable,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0048,candidate_commitment,516-523,21,K-12 — Knowledge engineering begins before implementation,K-FND-010;K-FND-011,REVISE_V0.2,§11 — Stage-Accepted explanatory obligations,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0049,section_claim_cluster,524-560,22,10. Implications for Human-AI and multi-intelligence cooperation,K-FND-012;K-FND-013;K-FND-014,REVISE_V0.2,§12 — Heterogeneous participation and authority,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0050,section_claim_cluster,528-533,22,"10.1 AI output is a contribution, not a verdict",K-FND-012;K-FND-013;K-FND-014,REVISE_V0.2,§12 — Heterogeneous participation and authority,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0051,section_claim_cluster,534-552,22,10.2 Roles may be distributed,K-FND-012;K-FND-013;K-FND-014,REVISE_V0.2,§12 — Heterogeneous participation and authority,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0052,section_claim_cluster,553-560,22,10.3 Shared does not mean identical,K-FND-012;K-FND-013;K-FND-014,REVISE_V0.2,§12 — Heterogeneous participation and authority,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0053,development_requirement,561-622,23,11. Development requirements derived from the foundation,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0054,development_requirement,565-577,23,11.1 Separate the layers,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0055,development_requirement,578-591,23,11.2 Preserve epistemic lineage,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0056,development_requirement,592-595,23,11.3 Support non-monotonic evolution,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0057,development_requirement,596-599,23,11.4 Allow multiple representational projections,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0058,development_requirement,600-612,23,11.5 Make uncertainty typed,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0059,development_requirement,613-616,24,11.6 Preserve negative results,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0060,development_requirement,617-622,24,11.7 Avoid premature universalization,K-FND-015,REVISE_V0.2,§13 — Development requirements,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0061,open_question,623-666,25,12. Open foundational questions,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0062,open_question,627-630,25,12.1 Is knowledge necessarily factive in the formal SymK vocabulary?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0063,open_question,631-634,25,12.2 Can a cooperative system literally know?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0064,open_question,635-638,25,12.3 What qualifies an artificial system as an epistemic subject?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0065,open_question,639-642,25,12.4 How should knowledge-how be governed?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0066,open_question,643-646,25,12.5 What is the relation between knowledge and understanding?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0067,open_question,647-656,25,12.6 How should context affect knowledge attribution?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0068,open_question,657-660,25,12.7 How should conflicting but locally successful models coexist?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0069,open_question,661-666,25,12.8 What are the smallest irreducible primitives?,K-FND-016,REVISE_V0.2,§14 — Accepted answers and live questions,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0070,evaluation_gate_cluster,667-689,26,13. A practical evaluation gate,K-FND-017;K-FND-018,REVISE_V0.2,§15 — Material review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0071,section_claim_cluster,690-715,27,14. Conclusion,K-FND-001;K-FND-003;K-FND-024,REVISE_V0.2,§16 — Conclusion,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0072,central_blockquote_claim,34-34,5,1. Why knowledge is foundational to SymK,K-FND-001;K-FND-019,REVISE_V0.2,"§2 and §16 — Medium, process and value chain",Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0073,central_blockquote_claim,56-56,6,2. The first correction: there is no simple historical definition to inherit,K-FND-023,REVISE_V0.2,§3 — JTB and Gettier inquiry,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0074,central_blockquote_claim,76-76,6,2.1 The Gettier rupture,K-FND-023,RETAIN_V0.1_JUSTIFIED,§3 — JTB and Gettier inquiry,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0075,central_blockquote_claim,279-279,13,5.8 Comparative view,K-FND-005;K-FND-014,REVISE_V0.2,§§5–6 and §9 — Projection and Views,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0076,central_blockquote_claim,349-349,16,7. A working definition for SymK,K-FND-001;K-FND-003,REVISE_V0.2,§8 and §16 — Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0077,central_blockquote_claim,383-383,16,7.1 The operational corollary,K-FND-001;K-FND-003,REVISE_V0.2,§8 and §16 — Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0078,central_blockquote_claim,391-391,17,7.2 Interpreting the constitutional motto,K-FND-001;K-FND-003,REVISE_V0.2,§8 and §16 — Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0079,central_blockquote_claim,702-702,16,14. Conclusion,K-FND-001;K-FND-003,REVISE_V0.2,§8 and §16 — Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0080,central_blockquote_claim,706-706,16,14. Conclusion,K-FND-001;K-FND-003,REVISE_V0.2,§8 and §16 — Accepted Knowledge minimum,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0081,central_blockquote_claim,710-710,5,14. Conclusion,K-FND-001,REVISE_V0.2,§16 — Conclusion,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0082,explicit_numbered_claim_or_requirement,40-40,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0083,explicit_numbered_claim_or_requirement,41-41,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0084,explicit_numbered_claim_or_requirement,42-42,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0085,explicit_numbered_claim_or_requirement,43-43,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0086,explicit_numbered_claim_or_requirement,44-44,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0087,explicit_numbered_claim_or_requirement,45-45,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0088,explicit_numbered_claim_or_requirement,46-46,5,1. Why knowledge is foundational to SymK,K-FND-002;K-FND-005,RETAIN_V0.1_JUSTIFIED,§2 — Foundational risks,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0089,explicit_numbered_claim_or_requirement,151-151,9,3.4 A plural foundation,K-FND-004,REVISE_V0.2,§4 — Plural Knowledge modes,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0090,explicit_numbered_claim_or_requirement,152-152,9,3.4 A plural foundation,K-FND-004,REVISE_V0.2,§4 — Plural Knowledge modes,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0091,explicit_numbered_claim_or_requirement,153-153,9,3.4 A plural foundation,K-FND-004,REVISE_V0.2,§4 — Plural Knowledge modes,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0092,explicit_numbered_claim_or_requirement,436-436,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0093,explicit_numbered_claim_or_requirement,437-437,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0094,explicit_numbered_claim_or_requirement,438-438,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0095,explicit_numbered_claim_or_requirement,439-439,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0096,explicit_numbered_claim_or_requirement,440-440,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0097,explicit_numbered_claim_or_requirement,441-441,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0098,explicit_numbered_claim_or_requirement,442-442,19,8. The proposed SymK knowledge object,K-FND-009;K-FND-020,REVISE_V0.2,§10 — Non-container review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0099,explicit_numbered_claim_or_requirement,582-582,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0100,explicit_numbered_claim_or_requirement,583-583,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0101,explicit_numbered_claim_or_requirement,584-584,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0102,explicit_numbered_claim_or_requirement,585-585,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0103,explicit_numbered_claim_or_requirement,586-586,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0104,explicit_numbered_claim_or_requirement,587-587,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0105,explicit_numbered_claim_or_requirement,588-588,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0106,explicit_numbered_claim_or_requirement,589-589,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0107,explicit_numbered_claim_or_requirement,590-590,23,11.2 Preserve epistemic lineage,K-FND-015,RETAIN_V0.1_JUSTIFIED,§13 — Epistemic lineage,"Substantively correct historical/literature or lineage claim retained in v0.2, with accepted-status and scope qualifications where required."
K-CLM-0108,evaluation_gate_question,673-673,26,13. A practical evaluation gate,K-FND-017;K-FND-018,REVISE_V0.2,§15 — Material review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0109,evaluation_gate_question,674-674,26,13. A practical evaluation gate,K-FND-017;K-FND-018,REVISE_V0.2,§15 — Material review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0110,evaluation_gate_question,675-675,26,13. A practical evaluation gate,K-FND-017;K-FND-018,REVISE_V0.2,§15 — Material review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
K-CLM-0111,evaluation_gate_question,676-676,26,13. A practical evaluation gate,K-FND-017;K-FND-018,REVISE_V0.2,§15 — Material review envelope,Reconstructed in v0.2 to implement the cited finding while preserving the v0.1 source and inquiry lineage.
