paper,heading_level,heading,markdown_line_start,markdown_line_end,pdf_page_start,markdown_source,pdf_projection
Knowledge,3,K-09 — Epistemic standing is not conferred by participant type,498,503,21,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,K-10 — Shared knowledge is not mere consensus,504,509,21,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,K-11 — Knowledge must remain challengeable,510,515,21,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,K-12 — Knowledge engineering begins before implementation,516,523,21,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,10. Implications for Human-AI and multi-intelligence cooperation,524,560,22,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,"10.1 AI output is a contribution, not a verdict",528,533,22,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,10.2 Roles may be distributed,534,552,22,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,10.3 Shared does not mean identical,553,560,22,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,11. Development requirements derived from the foundation,561,622,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.1 Separate the layers,565,577,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.2 Preserve epistemic lineage,578,591,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.3 Support non-monotonic evolution,592,595,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.4 Allow multiple representational projections,596,599,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.5 Make uncertainty typed,600,612,23,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.6 Preserve negative results,613,616,24,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,11.7 Avoid premature universalization,617,622,24,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,12. Open foundational questions,623,666,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.1 Is knowledge necessarily factive in the formal SymK vocabulary?,627,630,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.2 Can a cooperative system literally know?,631,634,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.3 What qualifies an artificial system as an epistemic subject?,635,638,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.4 How should knowledge-how be governed?,639,642,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.5 What is the relation between knowledge and understanding?,643,646,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.6 How should context affect knowledge attribution?,647,656,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.7 How should conflicting but locally successful models coexist?,657,660,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,3,12.8 What are the smallest irreducible primitives?,661,666,25,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,13. A practical evaluation gate,667,689,26,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,14. Conclusion,690,715,27,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,References,716,755,28,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Knowledge,2,Document governance note,756,766,29,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Knowledge/SymK_Foundation_Paper_Knowledge_v0.1.pdf
Intelligence,1,Intelligence Beyond the Human,1,986,1,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,2,A Foundational Paper for SymK,3,11,1,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,2,Abstract,12,27,1,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,2,1. Why Intelligence is foundational to SymK,28,63,2,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,2,"2. The Copernican correction: Human Intelligence is an instance, not the center",64,119,4,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,2.1 Human reference remains useful,76,87,4,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,2.2 Non-human biological Intelligence is not deficient humanity,88,91,5,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,2.3 Artificial Intelligence is not simulated humanity,92,97,5,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,2.4 Social Intelligence has two meanings that must not be confused,98,103,6,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,2.5 Decentering is not equivalence,104,119,6,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,2,3. The levels SymK must keep distinct,120,218,6,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,3.1 Supporting substrate,150,160,7,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
Intelligence,3,3.2 Organized system,161,175,8,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.md,00_GOVERNANCE/01_Product_Vision/01_FOUNDATION/Intelligence/SymK_Foundation_Paper_Intelligence_v0.1.pdf
