source_id,path,sha256,artifact_class,declared_status,current_authority,preopening_route
CS-011,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A4_Engineering_Epistemic_Conditions.md,5e9e7d88dd834ddb7e4fbd360fd8be937fc03cc3ea585427851b60922be76201,axiom exposition,Proposed and unratified,deliberative only,"refresh sources; decide constitutional limit versus S2 principle"
CS-012,00_GOVERNANCE/02_Axioms/Constitution_vNext/axioms/A6_Constitutional_Inheritance.md,537eca827e7c06bf3cb5756d3ce537728dacd2c6147e23257b242421095ccacf,axiom exposition,Proposed and unratified,deliberative only,"decide artifact class and coordinate exception/compatibility procedure with 2.3"
CS-013,00_GOVERNANCE/02_Axioms/Constitution_vNext/jurisdiction/J1_Philosophical_and_Engineering_Jurisdiction.md,c02c399dee9e712edfb0a2efa125ad8dd0c25e42eea73c0b0a88a5c9a1ec94a1,jurisdiction article,Proposed and unratified,deliberative only,"reconcile DR-017 identity; decide force and interpretive relation through 2.3"
CS-014,00_GOVERNANCE/02_Axioms/Constitution_vNext/02_NORMATIVE_HIERARCHY.md,cd0871d0bb5843e1caac59cd03d69979ca9abef5dd361f2cd4b7222075968a60,governance model,Proposed constitutional model,DR-005 program direction only,"preserve two-axis model; normalize authority kinds and status effects in 2.3"
CS-015,00_GOVERNANCE/02_Axioms/Constitution_vNext/03_CONFLICT_AND_CHALLENGE_PROTOCOL.md,ae9277f53f0d9f68805a61d2f031dc5b9457a42b2eaf6975ea15eaa192538805,conflict protocol,Proposed directional baseline,DR-005 program direction only,"retain direction rules; replace containment-duty language; supply procedure in 2.3"
CS-016,00_GOVERNANCE/02_Axioms/Constitution_vNext/04_EXISTING_DOCUMENT_DISPOSITION.md,5407cedd3f582dccb2c084f4cc2b40699a091a14088728185b0e552ad92d3f32,legacy-disposition scaffold,Proposed audit scaffold,none,"use as impact evidence only; final disposition belongs to 2.4 after Ratification"
CS-017,00_GOVERNANCE/02_Axioms/Constitution_vNext/05_DERIVED_PROJECT_COMPATIBILITY_TEMPLATE.md,4e2c3fabf2ea0fba78b5c2d5bb31f2efbf645f89182983bed8cb1c5f9702d4f8,compatibility template,working Proposed template,none,"use for counterexamples; final inheritance mechanics belong to 2.6"
CS-018,00_GOVERNANCE/02_Axioms/Constitution_vNext/06_RATIFICATION_AND_MIGRATION_PLAN.md,aa55cabaed207b56e3325c9ed23e06f47b576bb2e9a9a569e45c3dc26b03876d,ratification plan,Proposed,none,"replace circular deliberation/ratification sequence with 2.3A/2.3R transition"
CS-019,00_GOVERNANCE/02_Axioms/AXIOM_Symbiotic_Cooperation_Roles.md,8984d839f133e4fafdaf63fb8a9d4a6fe948d917aea3ac07c466b80ef033cfe6,legacy axiom,current legacy canonical claim,pending explicit disposition,"preserve; map fixed Human/AI roles; no 2.4 disposition before 2.3R"
CS-020,00_GOVERNANCE/02_Axioms/AXIOM_SymK_Is_A_Meta_PLC_Compiler.md,f7eb4dbc030debfaf3728fb0e9a6534e15fd367c44bb9a6c4536e2eee64688f1,legacy axiom,current legacy canonical claim,pending explicit disposition,"preserve; test architecture-versus-universal distinction; defer disposition to 2.4"
CS-021,00_GOVERNANCE/02_Axioms/SymK_Axiom_Pool_Exclusivity.md,a74f1f63d044611077926acac6d4dc03d225d8e9b1dd45a656565deb62f57841,legacy axiom,current legacy canonical claim,pending explicit disposition,"preserve; test infrastructure-policy classification; defer disposition to 2.4"
CS-022,00_GOVERNANCE/02_Axioms/SymK_Philosophy.md,cfd03534ddf2d7931706a9a5186d1deab5a4708c41818bf587194b08c881c371,legacy philosophy,current legacy artifact,evidentiary and pending disposition,"preserve rhetoric/history; proposition-specific selection only"
